,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
253,100.0,250.0,1.0,0.05,14.0,0.05,43.0,0.09984901,3409.0,142.04166666666666
254,100.0,250.0,1.0,0.05,14.0,0.1,40.0,0.0928828,3187.0,132.79166666666666
255,100.0,250.0,1.0,0.05,15.0,0.01,40.0,0.0928828,3496.0,145.66666666666666
256,100.0,250.0,1.0,0.05,15.0,0.05,40.0,0.0928828,3951.0,164.625
257,100.0,250.0,1.0,0.05,15.0,0.1,42.0,0.09752694,3582.0,149.25
258,100.0,250.0,1.0,0.05,16.0,0.01,46.0,0.10681522,3462.0,144.25
259,100.0,250.0,1.0,0.05,16.0,0.05,42.0,0.09752694,3650.0,152.08333333333334
260,100.0,250.0,1.0,0.05,16.0,0.1,41.0,0.09520487,3607.0,150.29166666666666
261,100.0,250.0,1.0,0.05,17.0,0.01,45.0,0.10449315,3649.0,152.04166666666666
262,100.0,250.0,1.0,0.05,17.0,0.05,45.0,0.10449315,3293.0,137.20833333333334
263,100.0,250.0,1.0,0.05,17.0,0.1,44.0,0.10217108,3534.0,147.25
264,100.0,250.0,1.0,0.1,10.0,0.01,23.0,0.05340761,1687.0,70.29166666666667
265,100.0,250.0,1.0,0.1,10.0,0.05,19.0,0.04411933,1696.0,70.66666666666667
266,100.0,250.0,1.0,0.1,10.0,0.1,18.0,0.04179726,1731.0,72.125
267,100.0,250.0,1.0,0.1,11.0,0.01,21.0,0.04876347,1986.0,82.75
268,100.0,250.0,1.0,0.1,11.0,0.05,19.0,0.04411933,1962.0,81.75
269,100.0,250.0,1.0,0.1,11.0,0.1,21.0,0.04876347,1421.0,59.208333333333336
270,100.0,250.0,1.0,0.1,12.0,0.01,21.0,0.04876347,1933.0,80.54166666666667
271,100.0,250.0,1.0,0.1,12.0,0.05,21.0,0.04876347,1807.0,75.29166666666667
272,100.0,250.0,1.0,0.1,12.0,0.1,20.0,0.0464414,1683.0,70.125
273,100.0,250.0,1.0,0.1,13.0,0.01,23.0,0.05340761,1745.0,72.70833333333333
274,100.0,250.0,1.0,0.1,13.0,0.05,22.0,0.05108554,1648.0,68.66666666666667
275,100.0,250.0,1.0,0.1,13.0,0.1,20.0,0.0464414,1895.0,78.95833333333333
276,100.0,250.0,1.0,0.1,14.0,0.01,22.0,0.05108554,1830.0,76.25
277,100.0,250.0,1.0,0.1,14.0,0.05,25.0,0.05805175,1901.0,79.20833333333333
278,100.0,250.0,1.0,0.1,14.0,0.1,21.0,0.04876347,1917.0,79.875
279,100.0,250.0,1.0,0.1,15.0,0.01,22.0,0.05108554,1768.0,73.66666666666667
280,100.0,250.0,1.0,0.1,15.0,0.05,22.0,0.05108554,1761.0,73.375
281,100.0,250.0,1.0,0.1,15.0,0.1,21.0,0.04876347,2044.0,85.16666666666667
282,100.0,250.0,1.0,0.1,16.0,0.01,20.0,0.0464414,1909.0,79.54166666666667
283,100.0,250.0,1.0,0.1,16.0,0.05,21.0,0.04876347,2050.0,85.41666666666667
284,100.0,250.0,1.0,0.1,16.0,0.1,23.0,0.05340761,2014.0,83.91666666666667
285,100.0,250.0,1.0,0.1,17.0,0.01,22.0,0.05108554,1739.0,72.45833333333333
286,100.0,250.0,1.0,0.1,17.0,0.05,21.0,0.04876347,1892.0,78.83333333333333
